letter,weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
𐎊,412,"{'top_left': 116, 'top_right': 112, 'bottom_left': 93, 'bottom_right': 91}","{'top_left': 0.31016042780748665, 'top_right': 0.2994652406417112, 'bottom_left': 0.24866310160427807, 'bottom_right': 0.24331550802139038}","(17.060679611650485, 20.344660194174757)","(0.5017846944603084, 0.46237864077669905)","(146.0025685738524, 49.61039565463286)","(0.07210003386363081, 0.040498282167047234)"
𐎋,372,"{'top_left': 137, 'top_right': 103, 'bottom_left': 114, 'bottom_right': 18}","{'top_left': 0.21207430340557276, 'top_right': 0.15944272445820434, 'bottom_left': 0.17647058823529413, 'bottom_right': 0.02786377708978328}","(25.513440860215052, 16.771505376344088)","(0.38079762477932916, 0.4413554046406339)","(26.090263325239913, 228.8035827841369)","(0.017153361818040707, 0.049481743681690504)"
𐎌,506,"{'top_left': 115, 'top_right': 231, 'bottom_left': 102, 'bottom_right': 58}","{'top_left': 0.1724137931034483, 'top_right': 0.34632683658170915, 'bottom_left': 0.15292353823088456, 'bottom_right': 0.08695652173913043}","(28.484189723320156, 17.899209486166008)","(0.499722626724915, 0.39776021080368906)","(102.98391241856613, 150.79915714977582)","(0.048669145755466034, 0.044827335656889365)"
𐎍,519,"{'top_left': 180, 'top_right': 201, 'bottom_left': 53, 'bottom_right': 85}","{'top_left': 0.3409090909090909, 'top_right': 0.3806818181818182, 'bottom_left': 0.10037878787878787, 'bottom_right': 0.16098484848484848}","(24.05009633911368, 15.052023121387283)","(0.501043673731535, 0.3420914345769837)","(117.55991401873322, 125.27687378647985)","(0.058054278527769496, 0.052176957012278154)"
𐎎,320,"{'top_left': 139, 'top_right': 136, 'bottom_left': 0, 'bottom_right': 45}","{'top_left': 0.234006734006734, 'top_right': 0.22895622895622897, 'bottom_left': 0.0, 'bottom_right': 0.07575757575757576}","(24.79375, 12.15625)","(0.4591435185185185, 0.2762784090909091)","(72.4068359375, 104.16371093749999)","(0.03575646219135803, 0.03443428460743801)"
𐎏,394,"{'top_left': 106, 'top_right': 132, 'bottom_left': 93, 'bottom_right': 63}","{'top_left': 0.2003780718336484, 'top_right': 0.2495274102079395, 'bottom_left': 0.17580340264650285, 'bottom_right': 0.11909262759924386}","(23.048223350253807, 20.35279187817259)","(0.5010483337011697, 0.45228426395939086)","(91.91360895668531, 84.2743242546832)","(0.04343743334436924, 0.03815044103878823)"
𐎐,252,"{'top_left': 0, 'top_right': 0, 'bottom_left': 140, 'bottom_right': 112}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.22328548644338117, 'bottom_right': 0.17862838915470494}","(28.194444444444443, 26.63095238095238)","(0.4337606837606837, 0.7008145363408521)","(3.6931689342403633, 201.96615961199296)","(0.002428118957422987, 0.04636505041597635)"
𐎑,543,"{'top_left': 142, 'top_right': 133, 'bottom_left': 138, 'bottom_right': 130}","{'top_left': 0.17149758454106281, 'top_right': 0.1606280193236715, 'bottom_left': 0.16666666666666666, 'bottom_right': 0.1570048309178744}","(33.90239410681399, 21.77900552486188)","(0.47749850854667597, 0.48397790055248624)","(66.39683363348698, 379.1341194984551)","(0.03137846580032466, 0.07313543971806619)"
𐎒,278,"{'top_left': 92, 'top_right': 96, 'bottom_left': 34, 'bottom_right': 56}","{'top_left': 0.26136363636363635, 'top_right': 0.2727272727272727, 'bottom_left': 0.09659090909090909, 'bottom_right': 0.1590909090909091}","(15.971223021582734, 15.29496402877698)","(0.49910071942446044, 0.34761281883584044)","(123.92019046633196, 23.1430567775995)","(0.06119515578584294, 0.021251659116252986)"
𐎓,214,"{'top_left': 63, 'top_right': 49, 'bottom_left': 48, 'bottom_right': 54}","{'top_left': 0.17119565217391305, 'top_right': 0.1331521739130435, 'bottom_left': 0.13043478260869565, 'bottom_right': 0.14673913043478262}","(15.616822429906541, 22.22429906542056)","(0.4880257009345794, 0.49387331256490136)","(92.77211983579353, 21.096165603982882)","(0.04384315682220866, 0.01937205289621936)"
